MeSH ID	Tree ID	Name	Description	Comment	Counts [Pubmed counts]	Color
D005847	C01.150.703.392	Geotrichosis	Infection due to the fungus Geotrichum.		133	
D005862	C10.597.606.762.100.300	Gerstmann Syndrome	A disorder of cognition characterized by the tetrad of finger agnosia, dysgraphia, DYSCALCULIA, and right-left disorientation. The syndrome may be developmental or acquired. Acquired Gerstmann syndrome is associated with lesions in the dominant (usually left) PARIETAL LOBE which involve the angular gyrus or subjacent white matter. (From Adams et al., Principles of Neurology, 6th ed, p457)		175	
D005862	C23.888.592.604.764.100.300	Gerstmann Syndrome	A disorder of cognition characterized by the tetrad of finger agnosia, dysgraphia, DYSCALCULIA, and right-left disorientation. The syndrome may be developmental or acquired. Acquired Gerstmann syndrome is associated with lesions in the dominant (usually left) PARIETAL LOBE which involve the angular gyrus or subjacent white matter. (From Adams et al., Principles of Neurology, 6th ed, p457)		175	
D005870	C04.557.450.565.380	Giant Cell Tumors	Tumors of bone tissue or synovial or other soft tissue characterized by the presence of giant cells. The most common are giant cell tumor of tendon sheath and GIANT CELL TUMOR OF BONE.		3506	
D005871	C15.604.515.245	Castleman Disease	Large benign, hyperplastic lymph nodes. The more common hyaline vascular subtype is characterized by small hyaline vascular follicles and interfollicular capillary proliferations. Plasma cells are often present and represent another subtype with the plasma cells containing IgM and IMMUNOGLOBULIN A.		3013	
D005871	C20.683.515.250	Castleman Disease	Large benign, hyperplastic lymph nodes. The more common hyaline vascular subtype is characterized by small hyaline vascular follicles and interfollicular capillary proliferations. Plasma cells are often present and represent another subtype with the plasma cells containing IgM and IMMUNOGLOBULIN A.		3013	
D005873	C01.610.432.481	Giardiasis	An infection of the SMALL INTESTINE caused by the flagellated protozoan GIARDIA. It is spread via contaminated food and water and by direct person-to-person contact.		4804	
D005873	C01.610.752.400	Giardiasis	An infection of the SMALL INTESTINE caused by the flagellated protozoan GIARDIA. It is spread via contaminated food and water and by direct person-to-person contact.		4804	
D005873	C06.405.469.452.481	Giardiasis	An infection of the SMALL INTESTINE caused by the flagellated protozoan GIARDIA. It is spread via contaminated food and water and by direct person-to-person contact.		4804	
D005877	C05.116.099.492	Gigantism	The condition of accelerated and excessive GROWTH in children or adolescents who are exposed to excess HUMAN GROWTH HORMONE before the closure of EPIPHYSES. It is usually caused by somatotroph hyperplasia or a GROWTH HORMONE-SECRETING PITUITARY ADENOMA. These patients are of abnormally tall stature, more than 3 standard deviations above normal mean height for age.		1190	
D005877	C05.116.132.479	Gigantism	The condition of accelerated and excessive GROWTH in children or adolescents who are exposed to excess HUMAN GROWTH HORMONE before the closure of EPIPHYSES. It is usually caused by somatotroph hyperplasia or a GROWTH HORMONE-SECRETING PITUITARY ADENOMA. These patients are of abnormally tall stature, more than 3 standard deviations above normal mean height for age.		1190	
D005877	C19.700.355.528	Gigantism	The condition of accelerated and excessive GROWTH in children or adolescents who are exposed to excess HUMAN GROWTH HORMONE before the closure of EPIPHYSES. It is usually caused by somatotroph hyperplasia or a GROWTH HORMONE-SECRETING PITUITARY ADENOMA. These patients are of abnormally tall stature, more than 3 standard deviations above normal mean height for age.		1190	
D005878	C16.320.565.300.528	Gilbert Disease	A benign familial disorder, transmitted as an autosomal dominant trait. It is characterized by low-grade chronic hyperbilirubinemia with considerable daily fluctuations of the bilirubin level.		823	
D005878	C18.452.648.300.528	Gilbert Disease	A benign familial disorder, transmitted as an autosomal dominant trait. It is characterized by low-grade chronic hyperbilirubinemia with considerable daily fluctuations of the bilirubin level.		823	
D005879	C10.228.140.079.898	Tourette Syndrome	A neuropsychological disorder related to alterations in DOPAMINE metabolism and neurotransmission involving frontal-subcortical neuronal circuits. Both multiple motor and one or more vocal tics need to be present with TICS occurring many times a day, nearly daily, over a period of more than one year. The onset is before age 18 and the disturbance is not due to direct physiological effects of a substance or another medical condition. The disturbance causes marked distress or significant impairment in social, occupational, or other important areas of functioning. (From DSM-IV, 1994; Neurol Clin 1997 May;15(2):357-79)		4764	
D005879	C10.228.662.825.800	Tourette Syndrome	A neuropsychological disorder related to alterations in DOPAMINE metabolism and neurotransmission involving frontal-subcortical neuronal circuits. Both multiple motor and one or more vocal tics need to be present with TICS occurring many times a day, nearly daily, over a period of more than one year. The onset is before age 18 and the disturbance is not due to direct physiological effects of a substance or another medical condition. The disturbance causes marked distress or significant impairment in social, occupational, or other important areas of functioning. (From DSM-IV, 1994; Neurol Clin 1997 May;15(2):357-79)		4764	
D005879	C10.574.500.850	Tourette Syndrome	A neuropsychological disorder related to alterations in DOPAMINE metabolism and neurotransmission involving frontal-subcortical neuronal circuits. Both multiple motor and one or more vocal tics need to be present with TICS occurring many times a day, nearly daily, over a period of more than one year. The onset is before age 18 and the disturbance is not due to direct physiological effects of a substance or another medical condition. The disturbance causes marked distress or significant impairment in social, occupational, or other important areas of functioning. (From DSM-IV, 1994; Neurol Clin 1997 May;15(2):357-79)		4764	
D005879	C16.320.400.820	Tourette Syndrome	A neuropsychological disorder related to alterations in DOPAMINE metabolism and neurotransmission involving frontal-subcortical neuronal circuits. Both multiple motor and one or more vocal tics need to be present with TICS occurring many times a day, nearly daily, over a period of more than one year. The onset is before age 18 and the disturbance is not due to direct physiological effects of a substance or another medical condition. The disturbance causes marked distress or significant impairment in social, occupational, or other important areas of functioning. (From DSM-IV, 1994; Neurol Clin 1997 May;15(2):357-79)		4764	
D005882	C07.465.714.258	Gingival Diseases	Diseases involving the GINGIVA.		3448	
D005884	C07.465.625.446	Gingival Hemorrhage	The flowing of blood from the marginal gingival area, particularly the sulcus, seen in such conditions as GINGIVITIS, marginal PERIODONTITIS, injury, and ASCORBIC ACID DEFICIENCY.		426	
D005884	C07.465.714.258.250	Gingival Hemorrhage	The flowing of blood from the marginal gingival area, particularly the sulcus, seen in such conditions as GINGIVITIS, marginal PERIODONTITIS, injury, and ASCORBIC ACID DEFICIENCY.		426	
D005884	C23.550.414.922.500	Gingival Hemorrhage	The flowing of blood from the marginal gingival area, particularly the sulcus, seen in such conditions as GINGIVITIS, marginal PERIODONTITIS, injury, and ASCORBIC ACID DEFICIENCY.		426	
D005885	C07.465.714.258.428.250	Gingival Hyperplasia	Non-inflammatory enlargement of the gingivae produced by factors other than local irritation. It is characteristically due to an increase in the number of cells. (From Jablonski's Dictionary of Dentistry, 1992, p400)		1250	
D005886	C07.465.714.258.428.260	Gingival Hypertrophy	Abnormal enlargement or overgrowth of the gingivae brought about by enlargement of existing cells.		242	
D005887	C04.588.443.591.402	Gingival Neoplasms	New abnormal growth of tissue in the GINGIVA.		1929	
D005887	C07.465.530.402	Gingival Neoplasms	New abnormal growth of tissue in the GINGIVA.		1929	
D005887	C07.465.714.258.409	Gingival Neoplasms	New abnormal growth of tissue in the GINGIVA.		1929	
D005888	C01.408.360	Gingival Pocket	An abnormal extension of a gingival sulcus not accompanied by the apical migration of the epithelial attachment.		210	
D005888	C07.465.714.258.480.360	Gingival Pocket	An abnormal extension of a gingival sulcus not accompanied by the apical migration of the epithelial attachment.		210	
D005889	C07.465.714.258.447	Gingival Recession	Exposure of the root surface when the edge of the gum (GINGIVA) moves apically away from the crown of the tooth. This is common with advancing age, vigorous tooth brushing, diseases, or tissue loss of the gingiva, the PERIODONTAL LIGAMENT and the supporting bone (ALVEOLAR PROCESS).		2083	
D005889	C07.465.714.354.625	Gingival Recession	Exposure of the root surface when the edge of the gum (GINGIVA) moves apically away from the crown of the tooth. This is common with advancing age, vigorous tooth brushing, diseases, or tissue loss of the gingiva, the PERIODONTAL LIGAMENT and the supporting bone (ALVEOLAR PROCESS).		2083	
D005891	C01.408	Gingivitis	Inflammation of gum tissue (GINGIVA) without loss of connective tissue.		6229	
D005891	C07.465.714.258.480	Gingivitis	Inflammation of gum tissue (GINGIVA) without loss of connective tissue.		6229	
D005892	C01.150.252.400.388.350.350	Gingivitis, Necrotizing Ulcerative	An acute or chronic GINGIVITIS characterized by redness and swelling, NECROSIS extending from the interdental papillae along the gingival margins, PAIN; HEMORRHAGE, necrotic odor, and often a pseudomembrane. The condition may extend to the ORAL MUCOSA; TONGUE; PALATE; or PHARYNX. The etiology is somewhat unclear, but may involve a complex of FUSOBACTERIUM NUCLEATUM along with spirochetes BORRELIA or TREPONEMA.		782	
D005892	C01.408.446	Gingivitis, Necrotizing Ulcerative	An acute or chronic GINGIVITIS characterized by redness and swelling, NECROSIS extending from the interdental papillae along the gingival margins, PAIN; HEMORRHAGE, necrotic odor, and often a pseudomembrane. The condition may extend to the ORAL MUCOSA; TONGUE; PALATE; or PHARYNX. The etiology is somewhat unclear, but may involve a complex of FUSOBACTERIUM NUCLEATUM along with spirochetes BORRELIA or TREPONEMA.		782	
D005892	C07.465.714.258.480.446	Gingivitis, Necrotizing Ulcerative	An acute or chronic GINGIVITIS characterized by redness and swelling, NECROSIS extending from the interdental papillae along the gingival margins, PAIN; HEMORRHAGE, necrotic odor, and often a pseudomembrane. The condition may extend to the ORAL MUCOSA; TONGUE; PALATE; or PHARYNX. The etiology is somewhat unclear, but may involve a complex of FUSOBACTERIUM NUCLEATUM along with spirochetes BORRELIA or TREPONEMA.		782	
D005896	C01.150.252.400.170.400	Glanders	A contagious disease of horses that can be transmitted to humans. It is caused by BURKHOLDERIA MALLEI and characterized by ulceration of the respiratory mucosa and an eruption of nodules on the skin.		278	
D005896	C22.488.409	Glanders	A contagious disease of horses that can be transmitted to humans. It is caused by BURKHOLDERIA MALLEI and characterized by ulceration of the respiratory mucosa and an eruption of nodules on the skin.		278	
D005901	C11.525.381	Glaucoma	An ocular disease, occurring in many forms, having as its primary characteristics an unstable or a sustained increase in the intraocular pressure which the eye cannot withstand without damage to its structure or impairment of its function. The consequences of the increased pressure may be manifested in a variety of symptoms, depending upon type and severity, such as excavation of the optic disk, hardness of the eyeball, corneal anesthesia, reduced visual acuity, seeing of colored halos around lights, disturbed dark adaptation, visual field defects, and headaches. (Dictionary of Visual Science, 4th ed)		33761	
D005902	C11.525.381.407	Glaucoma, Open-Angle	Glaucoma in which the angle of the anterior chamber is open and the trabecular meshwork does not encroach on the base of the iris.		14296	
D005909	C04.557.465.625.600.380.080.335	Glioblastoma	A malignant form of astrocytoma histologically characterized by pleomorphism of cells, nuclear atypia, microhemorrhage, and necrosis. They may arise in any region of the central nervous system, with a predilection for the cerebral hemispheres, basal ganglia, and commissural pathways. Clinical presentation most frequently occurs in the fifth or sixth decade of life with focal neurologic signs or seizures.		28630	
D005909	C04.557.470.670.380.080.335	Glioblastoma	A malignant form of astrocytoma histologically characterized by pleomorphism of cells, nuclear atypia, microhemorrhage, and necrosis. They may arise in any region of the central nervous system, with a predilection for the cerebral hemispheres, basal ganglia, and commissural pathways. Clinical presentation most frequently occurs in the fifth or sixth decade of life with focal neurologic signs or seizures.		28630	
D005909	C04.557.580.625.600.380.080.335	Glioblastoma	A malignant form of astrocytoma histologically characterized by pleomorphism of cells, nuclear atypia, microhemorrhage, and necrosis. They may arise in any region of the central nervous system, with a predilection for the cerebral hemispheres, basal ganglia, and commissural pathways. Clinical presentation most frequently occurs in the fifth or sixth decade of life with focal neurologic signs or seizures.		28630	
D005910	C04.557.465.625.600.380	Glioma	Benign and malignant central nervous system neoplasms derived from glial cells (i.e., astrocytes, oligodendrocytes, and ependymocytes). Astrocytes may give rise to astrocytomas (ASTROCYTOMA) or glioblastoma multiforme (see GLIOBLASTOMA). Oligodendrocytes give rise to oligodendrogliomas (OLIGODENDROGLIOMA) and ependymocytes may undergo transformation to become EPENDYMOMA; CHOROID PLEXUS NEOPLASMS; or colloid cysts of the third ventricle. (From Escourolle et al., Manual of Basic Neuropathology, 2nd ed, p21)		40546	
D005910	C04.557.470.670.380	Glioma	Benign and malignant central nervous system neoplasms derived from glial cells (i.e., astrocytes, oligodendrocytes, and ependymocytes). Astrocytes may give rise to astrocytomas (ASTROCYTOMA) or glioblastoma multiforme (see GLIOBLASTOMA). Oligodendrocytes give rise to oligodendrogliomas (OLIGODENDROGLIOMA) and ependymocytes may undergo transformation to become EPENDYMOMA; CHOROID PLEXUS NEOPLASMS; or colloid cysts of the third ventricle. (From Escourolle et al., Manual of Basic Neuropathology, 2nd ed, p21)		40546	
D005910	C04.557.580.625.600.380	Glioma	Benign and malignant central nervous system neoplasms derived from glial cells (i.e., astrocytes, oligodendrocytes, and ependymocytes). Astrocytes may give rise to astrocytomas (ASTROCYTOMA) or glioblastoma multiforme (see GLIOBLASTOMA). Oligodendrocytes give rise to oligodendrogliomas (OLIGODENDROGLIOMA) and ependymocytes may undergo transformation to become EPENDYMOMA; CHOROID PLEXUS NEOPLASMS; or colloid cysts of the third ventricle. (From Escourolle et al., Manual of Basic Neuropathology, 2nd ed, p21)		40546	
D005911	C23.550.369	Gliosis	The production of a dense fibrous network of neuroglia; includes astrocytosis, which is a proliferation of astrocytes in the area of a degenerative lesion.		2031	
D005918	C04.557.645.350	Glomus Tumor	A blue-red, extremely painful vascular neoplasm involving a glomeriform arteriovenous anastomosis (glomus body), which may be found anywhere in the skin, most often in the distal portion of the fingers and toes, especially beneath the nail. It is composed of specialized pericytes (sometimes termed glomus cells), usually in single encapsulated nodular masses which may be several millimeters in diameter (From Stedman, 27th ed). CHEMODECTOMA, a tumor of NEURAL CREST origin, is also sometimes called a glomus tumor.		2408	
D005921	C12.050.351.968.419.570.363	Glomerulonephritis	Inflammation of the renal glomeruli (KIDNEY GLOMERULUS) that can be classified by the type of glomerular injuries including antibody deposition, complement activation, cellular proliferation, and glomerulosclerosis. These structural and functional abnormalities usually lead to HEMATURIA; PROTEINURIA; HYPERTENSION; and RENAL INSUFFICIENCY.		20912	
D005921	C12.200.777.419.570.363	Glomerulonephritis	Inflammation of the renal glomeruli (KIDNEY GLOMERULUS) that can be classified by the type of glomerular injuries including antibody deposition, complement activation, cellular proliferation, and glomerulosclerosis. These structural and functional abnormalities usually lead to HEMATURIA; PROTEINURIA; HYPERTENSION; and RENAL INSUFFICIENCY.		20912	
D005921	C12.950.419.570.363	Glomerulonephritis	Inflammation of the renal glomeruli (KIDNEY GLOMERULUS) that can be classified by the type of glomerular injuries including antibody deposition, complement activation, cellular proliferation, and glomerulosclerosis. These structural and functional abnormalities usually lead to HEMATURIA; PROTEINURIA; HYPERTENSION; and RENAL INSUFFICIENCY.		20912	
D005922	C12.050.351.968.419.570.363.608	Glomerulonephritis, IGA	A chronic form of glomerulonephritis characterized by deposits of predominantly IMMUNOGLOBULIN A in the mesangial area (GLOMERULAR MESANGIUM). Deposits of COMPLEMENT C3 and IMMUNOGLOBULIN G are also often found. Clinical features may progress from asymptomatic HEMATURIA to END-STAGE KIDNEY DISEASE.		6831	
D005922	C12.200.777.419.570.363.608	Glomerulonephritis, IGA	A chronic form of glomerulonephritis characterized by deposits of predominantly IMMUNOGLOBULIN A in the mesangial area (GLOMERULAR MESANGIUM). Deposits of COMPLEMENT C3 and IMMUNOGLOBULIN G are also often found. Clinical features may progress from asymptomatic HEMATURIA to END-STAGE KIDNEY DISEASE.		6831	
D005922	C12.950.419.570.363.608	Glomerulonephritis, IGA	A chronic form of glomerulonephritis characterized by deposits of predominantly IMMUNOGLOBULIN A in the mesangial area (GLOMERULAR MESANGIUM). Deposits of COMPLEMENT C3 and IMMUNOGLOBULIN G are also often found. Clinical features may progress from asymptomatic HEMATURIA to END-STAGE KIDNEY DISEASE.		6831	
D005922	C20.111.525	Glomerulonephritis, IGA	A chronic form of glomerulonephritis characterized by deposits of predominantly IMMUNOGLOBULIN A in the mesangial area (GLOMERULAR MESANGIUM). Deposits of COMPLEMENT C3 and IMMUNOGLOBULIN G are also often found. Clinical features may progress from asymptomatic HEMATURIA to END-STAGE KIDNEY DISEASE.		6831	
D005923	C12.050.351.968.419.570.363.640	Glomerulosclerosis, Focal Segmental	A clinicopathological syndrome or diagnostic term for a type of glomerular injury that has multiple causes, primary or secondary. Clinical features include PROTEINURIA, reduced GLOMERULAR FILTRATION RATE, and EDEMA. Kidney biopsy initially indicates focal segmental glomerular consolidation (hyalinosis) or scarring which can progress to globally sclerotic glomeruli leading to eventual KIDNEY FAILURE.		4450	
D005923	C12.200.777.419.570.363.660	Glomerulosclerosis, Focal Segmental	A clinicopathological syndrome or diagnostic term for a type of glomerular injury that has multiple causes, primary or secondary. Clinical features include PROTEINURIA, reduced GLOMERULAR FILTRATION RATE, and EDEMA. Kidney biopsy initially indicates focal segmental glomerular consolidation (hyalinosis) or scarring which can progress to globally sclerotic glomeruli leading to eventual KIDNEY FAILURE.		4450	
D005923	C12.950.419.570.363.640	Glomerulosclerosis, Focal Segmental	A clinicopathological syndrome or diagnostic term for a type of glomerular injury that has multiple causes, primary or secondary. Clinical features include PROTEINURIA, reduced GLOMERULAR FILTRATION RATE, and EDEMA. Kidney biopsy initially indicates focal segmental glomerular consolidation (hyalinosis) or scarring which can progress to globally sclerotic glomeruli leading to eventual KIDNEY FAILURE.		4450	
D005925	C04.557.465.625.650.700.705.340	Glomus Jugulare Tumor	A paraganglioma involving the glomus jugulare, a microscopic collection of chemoreceptor tissue in the adventitia of the bulb of the jugular vein. It may cause paralysis of the vocal cords, attacks of dizziness, blackouts, and nystagmus. It is not resectable but radiation therapy is effective. It regresses slowly, but permanent control is regularly achieved. (From Dorland, 27th ed; Stedman, 25th ed; DeVita Jr et al., Cancer: Principles & Practice of Oncology, 3d ed, pp1603-4)		920	
D005925	C04.557.580.625.650.700.705.340	Glomus Jugulare Tumor	A paraganglioma involving the glomus jugulare, a microscopic collection of chemoreceptor tissue in the adventitia of the bulb of the jugular vein. It may cause paralysis of the vocal cords, attacks of dizziness, blackouts, and nystagmus. It is not resectable but radiation therapy is effective. It regresses slowly, but permanent control is regularly achieved. (From Dorland, 27th ed; Stedman, 25th ed; DeVita Jr et al., Cancer: Principles & Practice of Oncology, 3d ed, pp1603-4)		920	
D005926	C07.465.910.280	Glossalgia	Painful sensations in the tongue, including a sensation of burning.		238	
D005926	C23.888.592.612.414	Glossalgia	Painful sensations in the tongue, including a sensation of burning.		238	
D005928	C07.465.910.363	Glossitis	Inflammation of the tongue.		471	
D005929	C07.465.910.363.447	Glossitis, Benign Migratory	An idiopathic disorder of the tongue characterized by the loss of filiform papillae leaving reddened areas of circinate macules bound by a white band. The lesions heal, then others erupt.		305	
D005935	C04.557.470.200.025.290.750	Glucagonoma	An almost always malignant GLUCAGON-secreting tumor derived from the PANCREATIC ALPHA CELLS. It is characterized by a distinctive migratory ERYTHEMA; WEIGHT LOSS; STOMATITIS; GLOSSITIS; DIABETES MELLITUS; hypoaminoacidemia; and normochromic normocytic ANEMIA.		600	
D005935	C04.588.274.761.500.249	Glucagonoma	An almost always malignant GLUCAGON-secreting tumor derived from the PANCREATIC ALPHA CELLS. It is characterized by a distinctive migratory ERYTHEMA; WEIGHT LOSS; STOMATITIS; GLOSSITIS; DIABETES MELLITUS; hypoaminoacidemia; and normochromic normocytic ANEMIA.		600	
D005935	C04.588.322.475.500.249	Glucagonoma	An almost always malignant GLUCAGON-secreting tumor derived from the PANCREATIC ALPHA CELLS. It is characterized by a distinctive migratory ERYTHEMA; WEIGHT LOSS; STOMATITIS; GLOSSITIS; DIABETES MELLITUS; hypoaminoacidemia; and normochromic normocytic ANEMIA.		600	
D005935	C06.301.761.500.249	Glucagonoma	An almost always malignant GLUCAGON-secreting tumor derived from the PANCREATIC ALPHA CELLS. It is characterized by a distinctive migratory ERYTHEMA; WEIGHT LOSS; STOMATITIS; GLOSSITIS; DIABETES MELLITUS; hypoaminoacidemia; and normochromic normocytic ANEMIA.		600	
D005935	C06.689.667.500.249	Glucagonoma	An almost always malignant GLUCAGON-secreting tumor derived from the PANCREATIC ALPHA CELLS. It is characterized by a distinctive migratory ERYTHEMA; WEIGHT LOSS; STOMATITIS; GLOSSITIS; DIABETES MELLITUS; hypoaminoacidemia; and normochromic normocytic ANEMIA.		600	
D005935	C19.344.421.500.249	Glucagonoma	An almost always malignant GLUCAGON-secreting tumor derived from the PANCREATIC ALPHA CELLS. It is characterized by a distinctive migratory ERYTHEMA; WEIGHT LOSS; STOMATITIS; GLOSSITIS; DIABETES MELLITUS; hypoaminoacidemia; and normochromic normocytic ANEMIA.		600	
D005953	C16.320.565.202.449.448	Glycogen Storage Disease Type I	An autosomal recessive disease in which gene expression of glucose-6-phosphatase is absent, resulting in hypoglycemia due to lack of glucose production. Accumulation of glycogen in liver and kidney leads to organomegaly, particularly massive hepatomegaly. Increased concentrations of lactic acid and hyperlipidemia appear in the plasma. Clinical gout often appears in early childhood.		1367	
D005953	C18.452.648.202.449.448	Glycogen Storage Disease Type I	An autosomal recessive disease in which gene expression of glucose-6-phosphatase is absent, resulting in hypoglycemia due to lack of glucose production. Accumulation of glycogen in liver and kidney leads to organomegaly, particularly massive hepatomegaly. Increased concentrations of lactic acid and hyperlipidemia appear in the plasma. Clinical gout often appears in early childhood.		1367	
D005955	C15.378.071.141.150.480	Glucosephosphate Dehydrogenase Deficiency	A disease-producing enzyme deficiency subject to many variants, some of which cause a deficiency of GLUCOSE-6-PHOSPHATE DEHYDROGENASE activity in erythrocytes, leading to hemolytic anemia.		3922	
D005955	C16.320.070.480	Glucosephosphate Dehydrogenase Deficiency	A disease-producing enzyme deficiency subject to many variants, some of which cause a deficiency of GLUCOSE-6-PHOSPHATE DEHYDROGENASE activity in erythrocytes, leading to hemolytic anemia.		3922	
D005955	C16.320.565.202.402	Glucosephosphate Dehydrogenase Deficiency	A disease-producing enzyme deficiency subject to many variants, some of which cause a deficiency of GLUCOSE-6-PHOSPHATE DEHYDROGENASE activity in erythrocytes, leading to hemolytic anemia.		3922	
D005955	C18.452.648.202.402	Glucosephosphate Dehydrogenase Deficiency	A disease-producing enzyme deficiency subject to many variants, some of which cause a deficiency of GLUCOSE-6-PHOSPHATE DEHYDROGENASE activity in erythrocytes, leading to hemolytic anemia.		3922	
D006008	C16.320.565.202.449	Glycogen Storage Disease	A group of inherited metabolic disorders involving the enzymes responsible for the synthesis and degradation of glycogen. In some patients, prominent liver involvement is presented. In others, more generalized storage of glycogen occurs, sometimes with prominent cardiac involvement.		2264	
D006008	C18.452.648.202.449	Glycogen Storage Disease	A group of inherited metabolic disorders involving the enzymes responsible for the synthesis and degradation of glycogen. In some patients, prominent liver involvement is presented. In others, more generalized storage of glycogen occurs, sometimes with prominent cardiac involvement.		2264	
D006009	C10.228.140.163.100.435.340	Glycogen Storage Disease Type II	An autosomal recessively inherited glycogen storage disease caused by GLUCAN 1,4-ALPHA-GLUCOSIDASE deficiency. Large amounts of GLYCOGEN accumulate in the LYSOSOMES of skeletal muscle (MUSCLE, SKELETAL); HEART; LIVER; SPINAL CORD; and BRAIN. Three forms have been described: infantile, childhood, and adult. The infantile form is fatal in infancy and presents with hypotonia and a hypertrophic cardiomyopathy (CARDIOMYOPATHY, HYPERTROPHIC). The childhood form usually presents in the second year of life with proximal weakness and respiratory symptoms. The adult form consists of a slowly progressive proximal myopathy. (From Muscle Nerve 1995;3:S61-9; Menkes, Textbook of Child Neurology, 5th ed, pp73-4)		2024	
D006009	C16.320.565.189.435.340	Glycogen Storage Disease Type II	An autosomal recessively inherited glycogen storage disease caused by GLUCAN 1,4-ALPHA-GLUCOSIDASE deficiency. Large amounts of GLYCOGEN accumulate in the LYSOSOMES of skeletal muscle (MUSCLE, SKELETAL); HEART; LIVER; SPINAL CORD; and BRAIN. Three forms have been described: infantile, childhood, and adult. The infantile form is fatal in infancy and presents with hypotonia and a hypertrophic cardiomyopathy (CARDIOMYOPATHY, HYPERTROPHIC). The childhood form usually presents in the second year of life with proximal weakness and respiratory symptoms. The adult form consists of a slowly progressive proximal myopathy. (From Muscle Nerve 1995;3:S61-9; Menkes, Textbook of Child Neurology, 5th ed, pp73-4)		2024	
D006009	C16.320.565.202.449.500	Glycogen Storage Disease Type II	An autosomal recessively inherited glycogen storage disease caused by GLUCAN 1,4-ALPHA-GLUCOSIDASE deficiency. Large amounts of GLYCOGEN accumulate in the LYSOSOMES of skeletal muscle (MUSCLE, SKELETAL); HEART; LIVER; SPINAL CORD; and BRAIN. Three forms have been described: infantile, childhood, and adult. The infantile form is fatal in infancy and presents with hypotonia and a hypertrophic cardiomyopathy (CARDIOMYOPATHY, HYPERTROPHIC). The childhood form usually presents in the second year of life with proximal weakness and respiratory symptoms. The adult form consists of a slowly progressive proximal myopathy. (From Muscle Nerve 1995;3:S61-9; Menkes, Textbook of Child Neurology, 5th ed, pp73-4)		2024	
D006009	C16.320.565.595.554.340	Glycogen Storage Disease Type II	An autosomal recessively inherited glycogen storage disease caused by GLUCAN 1,4-ALPHA-GLUCOSIDASE deficiency. Large amounts of GLYCOGEN accumulate in the LYSOSOMES of skeletal muscle (MUSCLE, SKELETAL); HEART; LIVER; SPINAL CORD; and BRAIN. Three forms have been described: infantile, childhood, and adult. The infantile form is fatal in infancy and presents with hypotonia and a hypertrophic cardiomyopathy (CARDIOMYOPATHY, HYPERTROPHIC). The childhood form usually presents in the second year of life with proximal weakness and respiratory symptoms. The adult form consists of a slowly progressive proximal myopathy. (From Muscle Nerve 1995;3:S61-9; Menkes, Textbook of Child Neurology, 5th ed, pp73-4)		2024	
D006009	C18.452.132.100.435.340	Glycogen Storage Disease Type II	An autosomal recessively inherited glycogen storage disease caused by GLUCAN 1,4-ALPHA-GLUCOSIDASE deficiency. Large amounts of GLYCOGEN accumulate in the LYSOSOMES of skeletal muscle (MUSCLE, SKELETAL); HEART; LIVER; SPINAL CORD; and BRAIN. Three forms have been described: infantile, childhood, and adult. The infantile form is fatal in infancy and presents with hypotonia and a hypertrophic cardiomyopathy (CARDIOMYOPATHY, HYPERTROPHIC). The childhood form usually presents in the second year of life with proximal weakness and respiratory symptoms. The adult form consists of a slowly progressive proximal myopathy. (From Muscle Nerve 1995;3:S61-9; Menkes, Textbook of Child Neurology, 5th ed, pp73-4)		2024	
D006009	C18.452.648.189.435.340	Glycogen Storage Disease Type II	An autosomal recessively inherited glycogen storage disease caused by GLUCAN 1,4-ALPHA-GLUCOSIDASE deficiency. Large amounts of GLYCOGEN accumulate in the LYSOSOMES of skeletal muscle (MUSCLE, SKELETAL); HEART; LIVER; SPINAL CORD; and BRAIN. Three forms have been described: infantile, childhood, and adult. The infantile form is fatal in infancy and presents with hypotonia and a hypertrophic cardiomyopathy (CARDIOMYOPATHY, HYPERTROPHIC). The childhood form usually presents in the second year of life with proximal weakness and respiratory symptoms. The adult form consists of a slowly progressive proximal myopathy. (From Muscle Nerve 1995;3:S61-9; Menkes, Textbook of Child Neurology, 5th ed, pp73-4)		2024	
D006009	C18.452.648.202.449.500	Glycogen Storage Disease Type II	An autosomal recessively inherited glycogen storage disease caused by GLUCAN 1,4-ALPHA-GLUCOSIDASE deficiency. Large amounts of GLYCOGEN accumulate in the LYSOSOMES of skeletal muscle (MUSCLE, SKELETAL); HEART; LIVER; SPINAL CORD; and BRAIN. Three forms have been described: infantile, childhood, and adult. The infantile form is fatal in infancy and presents with hypotonia and a hypertrophic cardiomyopathy (CARDIOMYOPATHY, HYPERTROPHIC). The childhood form usually presents in the second year of life with proximal weakness and respiratory symptoms. The adult form consists of a slowly progressive proximal myopathy. (From Muscle Nerve 1995;3:S61-9; Menkes, Textbook of Child Neurology, 5th ed, pp73-4)		2024	
