MeSH ID	Tree ID	Name	Description	Comment	Counts [Template Drug]	Color
D004314	C10.597.606.360.220|C16.131.077.327|C16.131.260.260|C16.320.180.260	Down Syndrome	A chromosome disorder associated either with an extra chromosome 21 or an effective trisomy for chromosome 21. Clinical manifestations include hypotonia, short stature, brachycephaly, upslanting palpebral fissures, epicanthus, Brushfield spots on the iris, protruding tongue, small ears, short, broad hands, fifth finger clinodactyly, Simian crease, and moderate to severe INTELLECTUAL DISABILITY. Cardiac and gastrointestinal malformations, a marked increase in the incidence of LEUKEMIA, and the early onset of ALZHEIMER DISEASE are also associated with this condition. Pathologic features include the development of NEUROFIBRILLARY TANGLES in neurons and the deposition of AMYLOID BETA-PROTEIN, similar to the pathology of ALZHEIMER DISEASE. (Menkes, Textbook of Child Neurology, 5th ed, p213)	""	0	#FFFFFF
D004320	C01.610.335.508.700.750.299	Dracunculiasis	Infection with nematodes of the genus Dracunculus. One or more worms may be seen at a time, with the legs and feet being the most commonly infected areas. Symptoms include pruritus, nausea, vomiting, diarrhea, or asthmatic attacks.	""	0	#FFFFFF
D004332	C23.550.260.393|C26.304	Drowning	Death that occurs as a result of anoxia or heart arrest, associated with immersion in liquid.	""	0	#FFFFFF
D004342	C20.543.206|C25.100.468	Drug Hypersensitivity	Immunologically mediated adverse reactions to medicinal substances used legally or illegally.	""	0	#FFFFFF
D004368	C07.465.227	Dry Socket	A condition sometimes occurring after tooth extraction, particularly after traumatic extraction, resulting in a dry appearance of the exposed bone in the socket, due to disintegration or loss of the blood clot. It is basically a focal osteomyelitis without suppuration and is accompanied by severe pain (alveolalgia) and foul odor. (Dorland, 28th ed)	""	0	#FFFFFF
D004370	C10.292.562.250|C11.270.235|C11.590.224|C16.320.290.235	Duane Retraction Syndrome	A syndrome characterized by marked limitation of abduction of the eye, variable limitation of adduction and retraction of the globe, and narrowing of the palpebral fissure on attempted adduction. The condition is caused by aberrant innervation of the lateral rectus by fibers of the OCULOMOTOR NERVE.	""	0	#FFFFFF
D004374	C14.240.400.340|C14.280.400.340|C16.131.240.400.340	Ductus Arteriosus, Patent	A congenital heart defect characterized by the persistent opening of fetal DUCTUS ARTERIOSUS that connects the PULMONARY ARTERY to the descending aorta (AORTA, DESCENDING) allowing unoxygenated blood to bypass the lung and flow to the PLACENTA. Normally, the ductus is closed shortly after birth.	""	0	#FFFFFF
D004377	C06.405.748.630.310|C23.550.767.812.500	Dumping Syndrome	Gastrointestinal symptoms resulting from an absent or nonfunctioning pylorus.	""	0	#FFFFFF
D004378	C06.405.469.275	Duodenal Diseases	Pathological conditions in the DUODENUM region of the small intestine (INTESTINE, SMALL).	""	0	#FFFFFF
D004379	C04.588.274.476.411.445|C06.301.371.411.445|C06.405.249.411.445|C06.405.469.275.270|C06.405.469.491.445	Duodenal Neoplasms	Tumors or cancer of the DUODENUM.	""	0	#FFFFFF
D004380	C06.405.469.275.395|C06.405.469.531.311	Duodenal Obstruction	Hindrance of the passage of luminal contents in the DUODENUM. Duodenal obstruction can be partial or complete, and caused by intrinsic or extrinsic factors. Simple obstruction is associated with diminished or stopped flow of luminal contents. Strangulating obstruction is associated with impaired blood flow to the duodenum in addition to obstructed flow of luminal contents.	""	0	#FFFFFF
D004381	C06.405.469.275.800.348|C06.405.748.586.349	Duodenal Ulcer	A PEPTIC ULCER located in the DUODENUM.	""	0	#FFFFFF
D004382	C06.405.205.462.249|C06.405.469.275.600|C06.405.469.326.750	Duodenitis	Inflammation of the DUODENUM section of the small intestine (INTESTINE, SMALL). Erosive duodenitis may cause bleeding in the UPPER GI TRACT and PEPTIC ULCER.	""	0	#FFFFFF
D004383	C06.405.469.275.700|C06.405.748.240	Duodenogastric Reflux	Retrograde flow of duodenal contents (BILE ACIDS; PANCREATIC JUICE) into the STOMACH.	""	0	#FFFFFF
D004387	C04.557.450.565.590.340.173|C05.651.197.270|C17.300.270	Dupuytren Contracture	A fibromatosis of the palmar fascia characterized by thickening and contracture of the fibrous bands on the palmar surfaces of the hand and fingers. It arises most commonly in men between the ages of 30 and 50.	""	0	#FFFFFF
D004392	C05.116.099.343|C16.320.240|C19.297	Dwarfism	A genetic or pathological condition that is characterized by short stature and undersize. Abnormal skeletal growth usually results in an adult who is significantly below the average height.	""	0	#FFFFFF
D004393	C05.116.099.343.445|C05.116.132.358|C10.228.140.617.738.300.300|C19.297.312|C19.700.482.311	Dwarfism, Pituitary	A form of dwarfism caused by complete or partial GROWTH HORMONE deficiency, resulting from either the lack of GROWTH HORMONE-RELEASING FACTOR from the HYPOTHALAMUS or from the mutations in the growth hormone gene (GH1) in the PITUITARY GLAND. It is also known as Type I pituitary dwarfism. Human hypophysial dwarf is caused by a deficiency of HUMAN GROWTH HORMONE during development.	""	0	#FFFFFF
D004401	C10.597.606.150.500.800.150.200|C23.888.592.604.150.500.800.150.200	Dysarthria	Disorders of speech articulation caused by imperfect coordination of pharynx, larynx, tongue, or face muscles. This may result from CRANIAL NERVE DISEASES; NEUROMUSCULAR DISEASES; CEREBELLAR DISEASES; BASAL GANGLIA DISEASES; BRAIN STEM diseases; or diseases of the corticobulbar tracts (see PYRAMIDAL TRACTS). The cortical language centers are intact in this condition. (From Adams et al., Principles of Neurology, 6th ed, p489)	""	0	#FFFFFF
D004402	C10.177.575.300|C10.500.250.309|C10.574.500.493.250|C10.668.829.800.175.250|C16.131.666.310.309|C16.320.400.415.309	Dysautonomia, Familial	An autosomal disorder of the peripheral and autonomic nervous systems limited to individuals of Ashkenazic Jewish descent. Clinical manifestations are present at birth and include diminished lacrimation, defective thermoregulation, orthostatic hypotension (HYPOTENSION, ORTHOSTATIC), fixed pupils, excessive SWEATING, loss of pain and temperature sensation, and absent reflexes. Pathologic features include reduced numbers of small diameter peripheral nerve fibers and autonomic ganglion neurons. (From Adams et al., Principles of Neurology, 6th ed, p1348; Nat Genet 1993;4(2):160-4)	""	0	#FFFFFF
D004403	C06.405.205.331|C06.405.469.300	Dysentery	Acute inflammation of the intestine associated with infectious DIARRHEA of various etiologies, generally acquired by eating contaminated food containing TOXINS, BIOLOGICAL derived from BACTERIA or other microorganisms. Dysentery is characterized initially by watery FECES then by bloody mucoid stools. It is often associated with ABDOMINAL PAIN; FEVER; and DEHYDRATION.	""	0	#FFFFFF
D004404	C01.610.432.396|C01.610.752.049.328|C06.405.205.331.312|C06.405.469.300.312|C06.405.469.452.396	Dysentery, Amebic	DYSENTERY caused by intestinal amebic infection, chiefly with ENTAMOEBA HISTOLYTICA. This condition may be associated with amebic infection of the LIVER and other distant sites.	""	0	#FFFFFF
D004405	C01.150.252.400.310.229|C06.405.205.331.479|C06.405.469.300.479	Dysentery, Bacillary	DYSENTERY caused by gram-negative rod-shaped enteric bacteria (ENTEROBACTERIACEAE), most often by the genus SHIGELLA. Shigella dysentery, Shigellosis, is classified into subgroups according to syndrome severity and the infectious species. Group A: SHIGELLA DYSENTERIAE (severest); Group B: SHIGELLA FLEXNERI; Group C: SHIGELLA BOYDII; and Group D: SHIGELLA SONNEI (mildest).	""	0	#FFFFFF
D004406	C15.378.147.333|C20.673.430	Dysgammaglobulinemia	An immunologic deficiency state characterized by selective deficiencies of one or more, but not all, classes of immunoglobulins.	""	0	#FFFFFF
D004407	C04.557.465.330.300	Dysgerminoma	A malignant ovarian neoplasm, thought to be derived from primordial germ cells of the sexually undifferentiated embryonic gonad. It is the counterpart of the classical seminoma of the testis, to which it is both grossly and histologically identical. Dysgerminomas comprise 16% of all germ cell tumors but are rare before the age of 10, although nearly 50% occur before the age of 20. They are generally considered of low-grade malignancy but may spread if the tumor extends through its capsule and involves lymph nodes or blood vessels. (Dorland, 27th ed; DeVita Jr et al., Cancer: Principles & Practice of Oncology, 3d ed, p1646)	""	0	#FFFFFF
D004408	C10.597.751.861.479|C23.888.592.763.861.479	Dysgeusia	A condition characterized by alterations of the sense of taste which may range from mild to severe, including gross distortions of taste quality.	""	0	#FFFFFF
D004409	C10.228.662.262.500|C10.597.350.275|C10.720.312|C23.888.592.350.275|C25.100.750|C25.723.705.200	Dyskinesia, Drug-Induced	Abnormal movements, including HYPERKINESIS; HYPOKINESIA; TREMOR; and DYSTONIA, associated with the use of certain medications or drugs. Muscles of the face, trunk, neck, and extremities are most commonly affected. Tardive dyskinesia refers to abnormal hyperkinetic movements of the muscles of the face, tongue, and neck associated with the use of neuroleptic agents (see ANTIPSYCHOTIC AGENTS). (Adams et al., Principles of Neurology, 6th ed, p1199)	""	0	#FFFFFF
D004410	C10.597.606.150.500.300|C10.597.606.150.550.200|C23.888.592.604.150.500.300|C23.888.592.604.150.550.200	Dyslexia	A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision. This condition may be developmental or acquired. Developmental dyslexia is marked by reading achievement that falls substantially below that expected given the individual's chronological age, measured intelligence, and age-appropriate education. The disturbance in reading significantly interferes with academic achievement or with activities of daily living that require reading skills. (From DSM-IV)	""	0	#FFFFFF
D004411	C10.597.606.150.500.300.200|C10.597.606.150.550.200.500|C23.888.592.604.150.500.300.200|C23.888.592.604.150.550.200.500	Dyslexia, Acquired	A receptive visual aphasia characterized by the loss of a previously possessed ability to comprehend the meaning or significance of handwritten words, despite intact vision. This condition may be associated with posterior cerebral artery infarction (INFARCTION, POSTERIOR CEREBRAL ARTERY) and other BRAIN DISEASES.	""	0	#FFFFFF
D004412	C23.550.568.750|C23.888.592.612.944.500	Dysmenorrhea	Painful menstruation.	""	0	#FFFFFF
D004413	C05.116.099.370	Dysostoses	Defective bone formation involving individual bones, singly or in combination.	""	0	#FFFFFF
D004414	C12.050.351.500.110|C12.100.250.110|C12.100.500.100|C12.100.875.242|C12.200.294.100	Dyspareunia	Recurrent genital pain occurring during, before, or after SEXUAL INTERCOURSE in either the male or the female.	""	0	#FFFFFF
D004415	C23.888.821.236	Dyspepsia	Impaired digestion, especially after eating.	""	0	#FFFFFF
D004416	C04.557.665.560.260|C04.700.305|C16.320.700.305	Dysplastic Nevus Syndrome	Clinically atypical nevi (usually exceeding 5 mm in diameter and having variable pigmentation and ill defined borders) with an increased risk for development of non-familial cutaneous malignant melanoma. Biopsies show melanocytic dysplasia. Nevi are clinically and histologically identical to the precursor lesions for melanoma in the B-K mole syndrome. (Stedman, 25th ed)	""	0	#FFFFFF
D004417	C08.618.326|C23.888.852.371	Dyspnea	Difficult or labored breathing.	""	0	#FFFFFF
D004418	C08.618.326.396|C14.280.434.313|C23.888.852.371.396	Dyspnea, Paroxysmal	A disorder characterized by sudden attacks of respiratory distress in at rest patients with HEART FAILURE and PULMONARY EDEMA. It usually occurs at night after several hours of sleep in a reclining position. Patients awaken with a feeling of suffocation, coughing, a cold sweat, and TACHYCARDIA. When there is significant WHEEZING, it is called cardiac asthma.	""	0	#FFFFFF
D004420	C12.050.703.420.288	Dystocia	Slow or difficult OBSTETRIC LABOR or CHILDBIRTH.	""	0	#FFFFFF
D004421	C10.597.350.300|C23.888.592.350.300	Dystonia	An attitude or posture due to the co-contraction of agonists and antagonist muscles in one region of the body. It most often affects the large axial muscles of the trunk and limb girdles. Conditions which feature persistent or recurrent episodes of dystonia as a primary manifestation of disease are referred to as DYSTONIC DISORDERS. (Adams et al., Principles of Neurology, 6th ed, p77)	""	0	#FFFFFF
D004422	C10.228.140.079.357|C10.228.662.300.200|C10.574.500.393|C16.320.400.330	Dystonia Musculorum Deformans	A condition characterized by focal DYSTONIA that progresses to involuntary spasmodic contractions of the muscles of the legs, trunk, arms, and face. The hands are often spared, however, sustained axial and limb contractions may lead to a state where the body is grossly contorted. Onset is usually in the first or second decade. Familial patterns of inheritance, primarily autosomal dominant with incomplete penetrance, have been identified. (Adams et al., Principles of Neurology, 6th ed, p1078)	""	0	#FFFFFF
D004426	C09.218.271	Ear Deformities, Acquired	Distortion or disfigurement of the ear caused by disease or injury after birth.	""	0	#FFFFFF
D004427	C09.218	Ear Diseases	Pathological processes of the ear, the hearing, and the equilibrium system of the body.	""	0	#FFFFFF
D004428	C04.588.443.665.312|C09.218.334|C09.647.312	Ear Neoplasms	Tumors or cancer of any part of the hearing and equilibrium system of the body (the EXTERNAL EAR, the MIDDLE EAR, and the INNER EAR).	""	0	#FFFFFF
D004433	C09.218.350|C23.888.592.612.302	Earache	Pain in the ear.	""	0	#FFFFFF
D004437	C14.240.400.395|C14.280.400.395|C16.131.240.400.395	Ebstein Anomaly	A congenital heart defect characterized by downward or apical displacement of the TRICUSPID VALVE, usually with the septal and posterior leaflets being attached to the wall of the RIGHT VENTRICLE. It is characterized by a huge RIGHT ATRIUM and a small and less effective right ventricle.	""	0	#FFFFFF
D004438	C15.378.100.452|C23.550.414.625|C23.888.885.312	Ecchymosis	Extravasation of blood into the skin, resulting in a nonelevated, rounded or irregular, blue or purplish patch, larger than a petechia.	""	0	#FFFFFF
D004443	C01.610.335.190.396	Echinococcosis	An infection caused by the infestation of the larval form of tapeworms of the genus Echinococcus. The liver, lungs, and kidney are the most common areas of infestation.	""	0	#FFFFFF
D004444	C01.610.335.190.396.314|C01.610.518.314|C06.552.664.272	Echinococcosis, Hepatic	Liver disease caused by infections with parasitic tapeworms of the genus ECHINOCOCCUS, such as Echinococcus granulosus or Echinococcus multilocularis. Ingested Echinococcus ova burrow into the intestinal mucosa. The larval migration to the liver via the PORTAL VEIN leads to watery vesicles (HYDATID CYST).	""	0	#FFFFFF
D004445	C01.610.335.190.396.480|C01.610.582.314|C01.748.450.314|C08.381.517.314|C08.730.450.314	Echinococcosis, Pulmonary	Helminth infection of the lung caused by Echinococcus granulosus or Echinococcus multilocularis.	""	0	#FFFFFF
D004451	C01.610.335.865.282	Echinostomiasis	Infection by flukes of the genus Echinostoma.	""	0	#FFFFFF
D004454	C10.597.606.150.500.800.300|C23.888.592.604.150.500.800.300	Echolalia	"Involuntary (""parrot-like""), meaningless repetition of a recently heard word, phrase, or song. This condition may be associated with transcortical APHASIA; SCHIZOPHRENIA; or other disorders. (From Adams et al., Principles of Neurology, 6th ed, p485)"	""	0	#FFFFFF
D004457	C01.925.782.687.359.347	Echovirus Infections	Infectious disease processes, including meningitis, diarrhea, and respiratory disorders, caused by echoviruses.	""	0	#FFFFFF
D004461	C12.050.703.395.124	Eclampsia	Onset of HYPERREFLEXIA; SEIZURES; or COMA in a previously diagnosed pre-eclamptic patient (PRE-ECLAMPSIA).	""	0	#FFFFFF
D004473	C01.150.252.410.890.168|C01.150.252.819.210|C01.800.720.210|C17.800.695.210|C17.800.838.765.210	Ecthyma	An ulcerative pyoderma usually caused by group A beta-hemolytic streptococcal infection at the site of minor trauma. (Dorland, 27th ed)	""	0	#FFFFFF
D004474	C01.925.256.743.193|C22.836.259	Ecthyma, Contagious	An infectious dermatitis of sheep and goats, affecting primarily the muzzle and lips. It is caused by a poxvirus and may be transmitted to man.	""	0	#FFFFFF
D004476	C16.131.077.350|C16.131.831.350|C16.320.850.250|C17.800.804.350|C17.800.827.250	Ectodermal Dysplasia	A group of hereditary disorders involving tissues and structures derived from the embryonic ectoderm. They are characterized by the presence of abnormalities at birth and involvement of both the epidermis and skin appendages. They are generally nonprogressive and diffuse. Various forms exist, including anhidrotic and hidrotic dysplasias, FOCAL DERMAL HYPOPLASIA, and aplasia cutis congenita.	""	0	#FFFFFF
D004478	C01.610.858.211	Ectoparasitic Infestations	Infestations by PARASITES which live on, or burrow into, the surface of their host's EPIDERMIS. Most ectoparasites are ARTHROPODS.	""	0	#FFFFFF
D004479	C11.250.300|C11.510.598.373|C16.131.384.405	Ectopia Lentis	Congenital displacement of the lens resulting from defective zonule formation.	""	0	#FFFFFF
D004480	C05.660.585.350|C16.131.621.585.350	Ectromelia	Gross hypo- or aplasia of one or more long bones of one or more limbs. The concept includes amelia, hemimelia, phocomelia, and sirenomelia.	""	0	#FFFFFF
D004482	C01.925.256.743.239|C22.795.239	Ectromelia, Infectious	A viral infection of mice, causing edema and necrosis followed by limb loss.	""	0	#FFFFFF
D004483	C11.338.362	Ectropion	The turning outward (eversion) of the edge of the eyelid, resulting in the exposure of the palpebral conjunctiva. (Dorland, 27th ed)	""	0	#FFFFFF
D004485	C17.800.174.620|C17.800.815.620	Eczema	A pruritic papulovesicular dermatitis occurring as a reaction to many endogenous and exogenous agents (Dorland, 27th ed).	""	0	#FFFFFF
D004487	C23.888.277	Edema	Abnormal fluid accumulation in TISSUES or body cavities. Most cases of edema are present under the SKIN in SUBCUTANEOUS TISSUE.	""	0	#FFFFFF
D004488	C22.905.260	Edema Disease of Swine	An acute disease of young pigs that is usually associated with weaning. It is characterized clinically by paresis and subcutaneous edema.	""	0	#FFFFFF
D004489	C14.280.434.482|C23.888.277.197	Edema, Cardiac	Abnormal fluid retention by the body due to impaired cardiac function or heart failure. It is usually characterized by increase in venous and capillary pressure, and swollen legs when standing. It is different from the generalized edema caused by renal dysfunction (NEPHROTIC SYNDROME).	""	0	#FFFFFF
D004535	C14.907.454.240|C15.378.463.515.240|C16.131.831.428|C16.320.850.260|C17.300.200.310|C17.800.804.428|C17.800.827.260	Ehlers-Danlos Syndrome	A heterogeneous group of autosomally inherited COLLAGEN DISEASES caused by defects in the synthesis or structure of FIBRILLAR COLLAGEN. There are numerous subtypes: classical, hypermobility, vascular, and others. Common clinical features include hyperextensible skin and joints, skin fragility and reduced wound healing capability.	""	0	#FFFFFF
D004541	C14.240.400.450|C14.280.400.450|C16.131.240.400.450	Eisenmenger Complex	A condition associated with VENTRICULAR SEPTAL DEFECT and other congenital heart defects that allow the mixing of pulmonary and systemic circulation, increase blood flow into the lung, and subsequent responses to low oxygen in blood. This complex is characterized by progressive PULMONARY HYPERTENSION; HYPERTROPHY of the RIGHT VENTRICLE; CYANOSIS; and ERYTHROCYTOSIS.	""	0	#FFFFFF
D004556	C26.324	Electric Injuries	Injuries caused by electric currents. The concept excludes electric burns (BURNS, ELECTRIC), but includes accidental electrocution and electric shock.	""	0	#FFFFFF
D004604	C15.604.496.320	Elephantiasis	Hypertrophy and thickening of tissues from causes other than filarial infection, the latter being described as ELEPHANTIASIS, FILARIAL.	""	0	#FFFFFF
D004605	C01.610.335.508.700.750.361.350|C01.920.750|C15.604.496.490	Elephantiasis, Filarial	Parasitic infestation of the human lymphatic system by WUCHERERIA BANCROFTI or BRUGIA MALAYI. It is also called lymphatic filariasis.	""	0	#FFFFFF
D004612	C15.378.071.141.150.365|C16.320.070.365	Elliptocytosis, Hereditary	An intrinsic defect of erythrocytes inherited as an autosomal dominant trait. The erythrocytes assume an oval or elliptical shape.	""	0	#FFFFFF
D004613	C05.116.099.708.327|C16.131.077.350.398|C16.131.831.350.398|C16.320.850.250.398|C17.800.804.350.398|C17.800.827.250.398	Ellis-Van Creveld Syndrome	Dwarfism occurring in association with defective development of skin, hair, and teeth, polydactyly, and defect of the cardiac septum. (Dorland, 27th ed)	""	0	#FFFFFF
D004614	C23.888.144.243.963.500	Emaciation	Clinical manifestation of excessive LEANNESS usually caused by disease or a lack of nutrition (MALNUTRITION).	""	0	#FFFFFF
D004617	C14.907.355.350	Embolism	Blocking of a blood vessel by an embolus which can be a blood clot or other undissolved material in the blood stream.	""	0	#FFFFFF
D004618	C14.907.355.350.254	Embolism, Air	Blocking of a blood vessel by air bubbles that enter the circulatory system, usually after TRAUMA; surgical procedures, or changes in atmospheric pressure.	""	0	#FFFFFF
D004619	C12.050.703.634.404|C14.583.404|C14.907.355.350.354	Embolism, Amniotic Fluid	Blocking of maternal circulation by AMNIOTIC FLUID that is forced into uterine VEINS by strong UTERINE CONTRACTION near the end of pregnancy. It is characterized by the sudden onset of severe respiratory distress and HYPOTENSION that can lead to maternal DEATH.	""	0	#FFFFFF
D004620	C14.907.355.350.454	Embolism, Fat	Blocking of a blood vessel by fat deposits in the circulation. It is often seen after fractures of large bones or after administration of CORTICOSTEROIDS.	""	0	#FFFFFF
D004630	C23.550.291.781	Emergencies	Situations or conditions requiring immediate intervention to avoid serious adverse results.	""	0	#FFFFFF
D004646	C23.550.325	Emphysema	A pathological accumulation of air in tissues or organs.	""	0	#FFFFFF
D004652	C10.228.140.617.738.200|C19.700.320	Empty Sella Syndrome	A condition when the SELLA TURCICA is not filled with pituitary tissue. The pituitary gland is either compressed, atrophied, or removed. There are two types: (1) primary empty sella is due a defect in the sella diaphragm leading to arachnoid herniation into the sellar space; (2) secondary empty sella is associated with the removal or treatment of PITUITARY NEOPLASMS.	""	0	#FFFFFF
D004653	C01.830.305|C23.550.470.756.305	Empyema	Presence of pus in a hollow organ or body cavity.	""	0	#FFFFFF
D004654	C01.748.265.320|C01.748.912.405|C01.830.305.310.320|C08.528.240.320|C08.528.928.405|C08.730.265.320|C08.730.912.405|C23.550.470.756.305.250.320	Empyema, Tuberculous	Empyema due to MYCOBACTERIUM TUBERCULOSIS.	""	0	#FFFFFF
D004660	C10.228.140.430|C10.586.250	Encephalitis	Inflammation of the BRAIN due to infection, autoimmune processes, toxins, and other conditions. Viral infections (see ENCEPHALITIS, VIRAL) are a relatively frequent cause of this condition.	""	0	#FFFFFF
D004670	C01.207.245.340.300.200|C01.207.399.750.300.200|C01.920.500.343.340|C01.925.081.343.340|C01.925.182.525.300.200|C01.925.782.147.340|C01.925.782.310.340|C10.228.140.430.520.750.300.200|C10.228.228.245.340.300.200|C10.228.228.399.750.300.200|C10.586.250.520.750.300.200	Encephalitis, California	A viral infection of the brain caused by serotypes of California encephalitis virus (ENCEPHALITIS VIRUS, CALIFORNIA) transmitted to humans by the mosquito AEDES triseriatus. The majority of cases are caused by the LA CROSSE VIRUS. This condition is endemic to the midwestern United States and primarily affects children between 5-10 years of age. Clinical manifestations include FEVER; VOMITING; HEADACHE; and abdominal pain followed by SEIZURES, altered mentation, and focal neurologic deficits. (From Joynt, Clinical Neurology, 1996, Ch26, p13)	""	0	#FFFFFF
D004671	C01.207.245.340.300|C01.207.399.750.300|C01.920.500.343|C01.925.081.343|C01.925.182.525.300|C01.925.782.310|C10.228.140.430.520.750.300|C10.228.228.245.340.300|C10.228.228.399.750.300|C10.586.250.520.750.300	Encephalitis, Arbovirus	Infections of the brain caused by arthropod-borne viruses (i.e., arboviruses) primarily from the families TOGAVIRIDAE; FLAVIVIRIDAE; BUNYAVIRIDAE; REOVIRIDAE; and RHABDOVIRIDAE. Life cycles of these viruses are characterized by ZOONOSES, with birds and lower mammals serving as intermediate hosts. The virus is transmitted to humans by the bite of mosquitoes (CULICIDAE) or TICKS. Clinical manifestations include fever, headache, alterations of mentation, focal neurologic deficits, and COMA. (From Clin Microbiol Rev 1994 Jan;7(1):89-116; Walton, Brain's Diseases of the Nervous System, 10th ed, p321)	""	0	#FFFFFF
D004672	C01.207.245.340.300.400|C01.207.399.750.300.400|C01.920.500.343.345|C01.925.081.343.345|C01.925.182.525.300.250|C01.925.782.310.345|C01.925.782.350.250.300|C10.228.140.430.520.750.300.400|C10.228.228.245.340.300.400|C10.228.228.399.750.300.400|C10.586.250.520.750.300.400	Encephalitis, Japanese	A mosquito-borne encephalitis caused by the Japanese B encephalitis virus (ENCEPHALITIS VIRUS, JAPANESE) occurring throughout Eastern Asia and Australia. The majority of infections occur in children and are subclinical or have features limited to transient fever and gastrointestinal symptoms. Inflammation of the brain, spinal cord, and meninges may occur and lead to transient or permanent neurologic deficits (including a POLIOMYELITIS-like presentation); SEIZURES; COMA; and death. (From Adams et al., Principles of Neurology, 6th ed, p751; Lancet 1998 Apr 11;351(9109):1094-7)	""	0	#FFFFFF
D004673	C10.114.375.225|C10.228.140.695.562.225|C10.314.350.225|C20.111.258.250.350	Encephalomyelitis, Acute Disseminated	An acute or subacute inflammatory process of the CENTRAL NERVOUS SYSTEM characterized histologically by multiple foci of perivascular demyelination. Symptom onset usually occurs several days after an acute viral infection or immunization, but it may coincide with the onset of infection or rarely no antecedent event can be identified. Clinical manifestations include CONFUSION, somnolence, FEVER, nuchal rigidity, and involuntary movements. The illness may progress to COMA and eventually be fatal. (Adams et al., Principles of Neurology, 6th ed, p921)	""	0	#FFFFFF
D004674	C01.207.245.340.300.550|C01.207.399.750.300.550|C01.920.500.343.350|C01.925.081.343.350|C01.925.182.525.300.300|C01.925.782.310.350|C01.925.782.350.250.450|C10.228.140.430.520.750.300.550|C10.228.228.245.340.300.550|C10.228.228.399.750.300.550|C10.586.250.520.750.300.550	Encephalitis, St. Louis	A viral encephalitis caused by the St. Louis encephalitis virus (ENCEPHALITIS VIRUS, ST. LOUIS), a FLAVIVIRUS. It is transmitted to humans and other vertebrates primarily by mosquitoes of the genus CULEX. The primary animal vectors are wild birds and the disorder is endemic to the midwestern and southeastern United States. Infections may be limited to an influenza-like illness or present as an ASEPTIC MENINGITIS or ENCEPHALITIS. Clinical manifestations of the encephalitic presentation may include SEIZURES, lethargy, MYOCLONUS, focal neurologic signs, COMA, and DEATH. (From Adams et al., Principles of Neurology, 6th ed, p750)	""	0	#FFFFFF
D004675	C01.207.245.340.300.775|C01.207.399.750.300.775|C01.920.500.343.360|C01.920.930.400|C01.925.081.343.360|C01.925.182.525.300.350|C01.925.782.310.360|C01.925.782.350.250.500|C10.228.140.430.520.750.300.775|C10.228.228.245.340.300.775|C10.228.228.399.750.300.775|C10.586.250.520.750.300.775	Encephalitis, Tick-Borne	Encephalitis caused by neurotropic viruses that are transmitted via the bite of TICKS. In Europe, the diseases are caused by ENCEPHALITIS VIRUSES, TICK-BORNE, which give rise to Russian spring-summer encephalitis, central European encephalitis, louping ill encephalitis, and related disorders. Powassan encephalitis occurs in North America and Russia and is caused by the Powassan virus. ASEPTIC MENINGITIS and rarely encephalitis may complicate COLORADO TICK FEVER which is endemic to mountainous regions of the western United States. (From Joynt, Clinical Neurology, 1996, Ch26, pp14-5)	""	0	#FFFFFF
D004677	C10.500.680.488|C16.131.666.680.488|C23.300.707.186	Encephalocele	Brain tissue herniation through a congenital or acquired defect in the skull. The majority of congenital encephaloceles occur in the occipital or frontal regions. Clinical features include a protuberant mass that may be pulsatile. The quantity and location of protruding neural tissue determines the type and degree of neurologic deficit. Visual defects, psychomotor developmental delay, and persistent motor deficits frequently occur.	""	0	#FFFFFF
D004678	C10.228.140.461	Encephalomalacia	Softening or loss of brain tissue following CEREBRAL INFARCTION; cerebral ischemia (see BRAIN ISCHEMIA), infection, CRANIOCEREBRAL TRAUMA, or other injury. The term is often used during gross pathologic inspection to describe blurred cortical margins and decreased consistency of brain tissue following infarction. Multicystic encephalomalacia refers to the formation of multiple cystic cavities of various sizes in the cerebral cortex of neonates and infants following injury, most notably perinatal hypoxia-ischemic events. (From Davis et al., Textbook of Neuropathology, 2nd ed, p665; J Neuropathol Exp Neurol, 1995 Mar;54(2):268-75)	""	0	#FFFFFF
D004679	C01.207.291|C10.228.228.291|C10.586.500	Encephalomyelitis	A general term indicating inflammation of the BRAIN and SPINAL CORD, often used to indicate an infectious process, but also applicable to a variety of autoimmune and toxic-metabolic conditions. There is significant overlap regarding the usage of this term and ENCEPHALITIS in the literature.	""	0	#FFFFFF
D004681	C10.114.703.300|C10.228.140.695.562.250|C10.314.350.250|C20.111.258.625.300	Encephalomyelitis, Autoimmune, Experimental	An experimental animal model for central nervous system demyelinating disease. Inoculation with a white matter emulsion combined with FREUND'S ADJUVANT, myelin basic protein, or purified central myelin triggers a T cell-mediated immune response directed towards central myelin. The pathologic features are similar to MULTIPLE SCLEROSIS, including perivascular and periventricular foci of inflammation and demyelination. Subpial demyelination underlying meningeal infiltrations also occurs, which is also a feature of ENCEPHALOMYELITIS, ACUTE DISSEMINATED. Passive immunization with T-cells from an afflicted animal to a normal animal also induces this condition. (From Immunol Res 1998;17(1-2):217-27; Raine CS, Textbook of Neuropathology, 2nd ed, p604-5)	""	0	#FFFFFF
